Date,Hour Ending,Day Ahead LMP,Real Time LMP
1/1/18,1,122.82,143.9
1/1/18,2,122.2,132.22
1/1/18,3,122.11,131.22
1/1/18,4,122.33,139.92
1/1/18,5,122.61,135.24
1/1/18,6,121.95,133.68
1/1/18,7,127.42,129.74
1/1/18,8,132.72,125.8
1/1/18,9,142.51,131.49
1/1/18,10,173.14,191.7
1/1/18,11,162.74,183.6
1/1/18,12,169.09,158.19
1/1/18,13,160.3,146.13
1/1/18,14,155.88,137.08
1/1/18,15,147.04,129.42
1/1/18,16,152.04,137.27
1/1/18,17,186.47,152.2
1/1/18,18,214.17,169.99
1/1/18,19,206.84,169.34
1/1/18,20,192.49,158.42
1/1/18,21,162.58,163.15
1/1/18,22,161.49,156.97
1/1/18,23,155.18,139.81
1/1/18,24,153.79,71.58
1/2/18,1,142.05,129.71
1/2/18,2,131.98,122.64
1/2/18,3,128.69,109.91
1/2/18,4,128.29,121.51
1/2/18,5,134.29,126.92
1/2/18,6,154.95,151.38
1/2/18,7,181.14,228.63
1/2/18,8,203.14,188.89
1/2/18,9,198.98,166.75
1/2/18,10,197.91,154.4
1/2/18,11,197.52,159.13
1/2/18,12,191.76,148.59
1/2/18,13,165.39,148.93
1/2/18,14,156.14,151.03
1/2/18,15,149.69,151.27
1/2/18,16,150.64,147.96
1/2/18,17,182.01,167.44
1/2/18,18,215.01,171.75
1/2/18,19,206.61,172.05
1/2/18,20,193.21,181.14
1/2/18,21,179.28,162.88
1/2/18,22,164.17,126.71
1/2/18,23,155.24,119.31
1/2/18,24,134.22,120.88
1/3/18,1,123.92,126.24
1/3/18,2,123.32,124.5
1/3/18,3,118.61,117.21
1/3/18,4,118.86,128.6
1/3/18,5,122.33,126.53
1/3/18,6,129.14,156.15
1/3/18,7,195.01,211.21
1/3/18,8,191.01,236.86
1/3/18,9,189.67,199.02
1/3/18,10,183.76,179.69
1/3/18,11,183.71,150.83
1/3/18,12,171.73,164.49
1/3/18,13,149.79,130.87
1/3/18,14,144.14,135.87
1/3/18,15,140.76,143.66
1/3/18,16,139.84,148.11
1/3/18,17,192.15,156.92
1/3/18,18,213.55,163.3
1/3/18,19,201.62,167.15
1/3/18,20,188.94,169.75
1/3/18,21,163.86,162.42
1/3/18,22,151.12,157.66
1/3/18,23,140.69,150.51
1/3/18,24,122.98,137.53
1/4/18,1,111.24,134.47
1/4/18,2,108.64,136.06
1/4/18,3,97.51,133.47
1/4/18,4,94.59,124.89
1/4/18,5,108.67,125.11
1/4/18,6,123.27,123.31
1/4/18,7,142.27,82.79
1/4/18,8,157.42,121.44
1/4/18,9,155.72,140.56
1/4/18,10,158.72,191.86
1/4/18,11,169.24,235.08
1/4/18,12,157.44,300.62
1/4/18,13,156.46,303.1
1/4/18,14,152.34,265.43
1/4/18,15,151.65,278.63
1/4/18,16,152.79,297.11
1/4/18,17,191.51,306.9
1/4/18,18,212.49,362.1
1/4/18,19,200.55,319.38
1/4/18,20,184.17,299.76
1/4/18,21,172.18,244.62
1/4/18,22,151.54,177.82
1/4/18,23,145.51,138.21
1/4/18,24,139.88,145.82
1/5/18,1,141.7,186.96
1/5/18,2,142.79,167.26
1/5/18,3,141.64,160.7
1/5/18,4,144.41,137.48
1/5/18,5,144.2,153.18
1/5/18,6,157.58,140.56
1/5/18,7,248.34,230.07
1/5/18,8,248.78,434.99
1/5/18,9,230.42,325.73
1/5/18,10,248.6,275.84
1/5/18,11,248.57,299.66
1/5/18,12,238.37,364.62
1/5/18,13,244.86,336.46
1/5/18,14,213.19,297.66
1/5/18,15,207.95,381.37
1/5/18,16,225.46,286.66
1/5/18,17,250.34,319.58
1/5/18,18,303.07,391.34
1/5/18,19,294.78,303.96
1/5/18,20,262.77,266.86
1/5/18,21,248.06,347.94
1/5/18,22,225.34,323.73
1/5/18,23,203.35,357.96
1/5/18,24,192.83,341.23
1/6/18,1,181.22,295.78
1/6/18,2,166.53,249.75
1/6/18,3,163.87,269.38
1/6/18,4,166.68,251.43
1/6/18,5,171.69,250.63
1/6/18,6,184.63,234.44
1/6/18,7,222.31,203.4
1/6/18,8,204.63,276.58
1/6/18,9,256.76,290.85
1/6/18,10,270.84,281.11
1/6/18,11,258.23,212.93
1/6/18,12,230.77,288.87
1/6/18,13,213.82,329.55
1/6/18,14,209.2,235.6
1/6/18,15,205.05,173.58
1/6/18,16,206.73,250.09
1/6/18,17,247.24,264.48
1/6/18,18,312.5,228.12
1/6/18,19,297.11,240.57
1/6/18,20,276.43,207.74
1/6/18,21,222.37,219.92
1/6/18,22,202.57,290.68
1/6/18,23,198.35,229.69
1/6/18,24,188.51,197.87
1/7/18,1,216.94,203.42
1/7/18,2,197.72,178.39
1/7/18,3,196.64,160.63
1/7/18,4,195.54,158.28
1/7/18,5,213.02,161.66
1/7/18,6,213.05,172.64
1/7/18,7,195.81,181.79
1/7/18,8,224,207.66
1/7/18,9,194.68,299.47
1/7/18,10,189.52,301.74
1/7/18,11,186.08,237.55
1/7/18,12,179.67,227.55
1/7/18,13,180.69,177.59
1/7/18,14,174.71,156.59
1/7/18,15,174.9,155.67
1/7/18,16,176.36,195.44
1/7/18,17,178.8,291.41
1/7/18,18,231.08,286.99
1/7/18,19,230.76,240.73
1/7/18,20,191.05,228.73
1/7/18,21,194.32,185.21
1/7/18,22,180.88,183.41
1/7/18,23,177.84,156.09
1/7/18,24,180.73,135.12
1/8/18,1,153.36,150.06
1/8/18,2,150.96,147.35
1/8/18,3,148.85,144.61
1/8/18,4,150.94,144.12
1/8/18,5,153.14,147.51
1/8/18,6,179.01,139.82
1/8/18,7,222.37,187
1/8/18,8,225.05,198
1/8/18,9,218.71,180.6
1/8/18,10,224.72,153.91
1/8/18,11,178.96,136.12
1/8/18,12,174.57,140.04
1/8/18,13,155.69,144.51
1/8/18,14,153.35,143.57
1/8/18,15,150.6,137.92
1/8/18,16,147.9,139.63
1/8/18,17,152.95,141.95
1/8/18,18,185.42,151.93
1/8/18,19,178.81,150.11
1/8/18,20,164.41,149.18
1/8/18,21,160.12,144.05
1/8/18,22,153.27,148.96
1/8/18,23,148.93,148.38
1/8/18,24,140.26,131.87
1/9/18,1,120.05,136.1
1/9/18,2,113.79,153.69
1/9/18,3,104.87,167.52
1/9/18,4,109.29,151.49
1/9/18,5,115.2,163.7
1/9/18,6,134.75,179.17
1/9/18,7,143.18,195.89
1/9/18,8,142.95,186.75
1/9/18,9,138.98,158.91
1/9/18,10,138.44,126.87
1/9/18,11,114.85,92.63
1/9/18,12,100.39,92.32
1/9/18,13,94.13,92.72
1/9/18,14,89.31,97.49
1/9/18,15,82.81,103.57
1/9/18,16,83.72,108.06
1/9/18,17,110.15,122.85
1/9/18,18,142.44,148.47
1/9/18,19,137.72,139.21
1/9/18,20,128.59,129.6
1/9/18,21,116.46,105.48
1/9/18,22,114.31,87.25
1/9/18,23,107.91,68.66
1/9/18,24,99.48,64.57
1/10/18,1,104.82,67.17
1/10/18,2,99.97,71.62
1/10/18,3,104.96,74.5
1/10/18,4,104.94,74.4
1/10/18,5,112.55,65.35
1/10/18,6,113.03,81.78
1/10/18,7,146.13,108.32
1/10/18,8,146.21,123.58
1/10/18,9,138.25,115.02
1/10/18,10,134.07,95.13
1/10/18,11,114.56,62.42
1/10/18,12,92.23,58.91
1/10/18,13,83.84,53.1
1/10/18,14,74.49,51.86
1/10/18,15,71.75,61.29
1/10/18,16,73.41,52.63
1/10/18,17,102.58,63.81
1/10/18,18,139.16,83.77
1/10/18,19,122.46,79.85
1/10/18,20,102.81,73.94
1/10/18,21,91.13,63.81
1/10/18,22,85.21,59.75
1/10/18,23,66.7,55.12
1/10/18,24,57.36,53.08
1/11/18,1,70.44,59.18
1/11/18,2,69.91,45.32
1/11/18,3,64.01,29.07
1/11/18,4,63.93,33.82
1/11/18,5,67.33,54.12
1/11/18,6,77.27,67.29
1/11/18,7,105.87,74.78
1/11/18,8,82.61,85.56
1/11/18,9,77.87,79.79
1/11/18,10,85.66,67.66
1/11/18,11,48.89,31.7
1/11/18,12,46.07,31.58
1/11/18,13,46.41,31.1
1/11/18,14,44.09,31.08
1/11/18,15,40.98,28.55
1/11/18,16,43.71,29.21
1/11/18,17,56.64,31.71
1/11/18,18,91.41,41.83
1/11/18,19,61.57,39.9
1/11/18,20,49.79,34.05
1/11/18,21,44.1,26.07
1/11/18,22,41.3,24.46
1/11/18,23,37.91,1.32
1/11/18,24,37.29,-29.04
1/12/18,1,28.66,19.7
1/12/18,2,23.6,23.01
1/12/18,3,20.07,21.19
1/12/18,4,20.2,17.92
1/12/18,5,21.35,17.86
1/12/18,6,28.23,22.86
1/12/18,7,33.17,25.45
1/12/18,8,30.41,25.82
1/12/18,9,29.97,22.44
1/12/18,10,30.19,22.55
1/12/18,11,31.44,23.1
1/12/18,12,30.88,23.67
1/12/18,13,31.34,23.67
1/12/18,14,30.2,23.6
1/12/18,15,29.72,25.23
1/12/18,16,26.81,23.97
1/12/18,17,35.36,24.33
1/12/18,18,45.48,25.95
1/12/18,19,33.01,27.97
1/12/18,20,29.18,22.91
1/12/18,21,27.33,22.43
1/12/18,22,26.64,21.05
1/12/18,23,26.71,21.75
1/12/18,24,25.78,31.19
1/13/18,1,10.23,106.77
1/13/18,2,9,75.6
1/13/18,3,5.52,46.16
1/13/18,4,1.78,61.18
1/13/18,5,5.57,40.99
1/13/18,6,7.86,19.04
1/13/18,7,10.42,15.5
1/13/18,8,21.61,24.16
1/13/18,9,24.99,60.05
1/13/18,10,29.57,58.21
1/13/18,11,85.64,147.61
1/13/18,12,99.75,98.77
1/13/18,13,97.94,64.94
1/13/18,14,97.68,61.45
1/13/18,15,89.9,88.98
1/13/18,16,100.49,106.11
1/13/18,17,133.03,119.88
1/13/18,18,182.24,181.32
1/13/18,19,143.74,184.08
1/13/18,20,136.41,156.45
1/13/18,21,132.68,136.51
1/13/18,22,119.67,145.48
1/13/18,23,110.39,146.37
1/13/18,24,99.13,106.01
1/14/18,1,139.6,113.14
1/14/18,2,124.98,126.17
1/14/18,3,126.24,130.66
1/14/18,4,122.36,133.99
1/14/18,5,124.65,132.46
1/14/18,6,124.64,155.83
1/14/18,7,152.15,254.86
1/14/18,8,145.19,210.39
1/14/18,9,158.57,234.23
1/14/18,10,166.53,153.28
1/14/18,11,167.79,124.53
1/14/18,12,149.44,133.41
1/14/18,13,143.22,138.58
1/14/18,14,142.32,123.57
1/14/18,15,139.29,128.7
1/14/18,16,138.45,129.33
1/14/18,17,183.25,125.01
1/14/18,18,188.88,168.4
1/14/18,19,187.68,158.67
1/14/18,20,170.98,189.81
1/14/18,21,148.26,139.73
1/14/18,22,143.77,153.85
1/14/18,23,143.43,195.07
1/14/18,24,139.89,129.37
1/15/18,1,137.16,137.52
1/15/18,2,132.75,122.76
1/15/18,3,127.5,119.19
1/15/18,4,124.74,117.74
1/15/18,5,137.48,140.11
1/15/18,6,156.73,143.73
1/15/18,7,201.77,115.9
1/15/18,8,202.78,146.24
1/15/18,9,187.69,136.88
1/15/18,10,181.45,165.77
1/15/18,11,165.47,150.98
1/15/18,12,145.29,148.06
1/15/18,13,136.45,143.03
1/15/18,14,135.51,141.01
1/15/18,15,127.98,125.73
1/15/18,16,131.82,127.14
1/15/18,17,177.04,149.11
1/15/18,18,204.57,167.82
1/15/18,19,195.06,140.5
1/15/18,20,177.53,137.77
1/15/18,21,158.73,122.36
1/15/18,22,149.35,123.44
1/15/18,23,137.47,113.22
1/15/18,24,134.45,121.21
1/16/18,1,129.13,120.85
1/16/18,2,124.54,111.57
1/16/18,3,121,107.79
1/16/18,4,121.42,108.3
1/16/18,5,123.01,129.6
1/16/18,6,124.87,118.24
1/16/18,7,195.94,121.59
1/16/18,8,177.06,135.39
1/16/18,9,164.71,113.69
1/16/18,10,147.3,106.27
1/16/18,11,140.06,109.19
1/16/18,12,138.26,104.83
1/16/18,13,134.58,102.58
1/16/18,14,130.54,104.3
1/16/18,15,124.02,107.34
1/16/18,16,127.21,101.78
1/16/18,17,154.89,99.5
1/16/18,18,190.55,108.85
1/16/18,19,171.83,133.15
1/16/18,20,149.17,123.9
1/16/18,21,139.48,118.56
1/16/18,22,124.18,118.79
1/16/18,23,95.68,87.05
1/16/18,24,122.84,101.43
1/17/18,1,92.84,86.09
1/17/18,2,96.53,100.35
1/17/18,3,86.09,89.78
1/17/18,4,84.24,88.57
1/17/18,5,87.83,88.39
1/17/18,6,110.54,124.66
1/17/18,7,119.78,148.13
1/17/18,8,119.55,131.54
1/17/18,9,130.18,144.11
1/17/18,10,126.53,147.27
1/17/18,11,121.48,137.08
1/17/18,12,119.62,130.44
1/17/18,13,118.38,132.15
1/17/18,14,114.52,136.61
1/17/18,15,110.81,123.96
1/17/18,16,113.31,118.63
1/17/18,17,130.64,115.36
1/17/18,18,152.55,139.76
1/17/18,19,141.28,133.84
1/17/18,20,130.73,112.16
1/17/18,21,119.4,106.93
1/17/18,22,110.28,87.22
1/17/18,23,101.03,107.8
1/17/18,24,99.82,92.75
1/18/18,1,106.55,87.51
1/18/18,2,105.29,88.46
1/18/18,3,92.52,82.98
1/18/18,4,93.83,83.56
1/18/18,5,93.08,93.94
1/18/18,6,116.2,99
1/18/18,7,150.48,153.64
1/18/18,8,153.03,233.15
1/18/18,9,134.91,128.56
1/18/18,10,125.6,103.43
1/18/18,11,121.12,95.55
1/18/18,12,105.4,100.76
1/18/18,13,94.61,88.64
1/18/18,14,91.69,84.46
1/18/18,15,89.93,76.76
1/18/18,16,93.51,79.85
1/18/18,17,107.76,85.59
1/18/18,18,163.82,106.64
1/18/18,19,162.79,119.45
1/18/18,20,141.24,108.82
1/18/18,21,119.48,131.97
1/18/18,22,95.75,107.97
1/18/18,23,91.03,118.16
1/18/18,24,85.33,142.26
1/19/18,1,88.23,127.87
1/19/18,2,86.36,166.4
1/19/18,3,85.24,129.72
1/19/18,4,83.52,132.51
1/19/18,5,87.84,178.54
1/19/18,6,96.53,179.61
1/19/18,7,111.23,138.95
1/19/18,8,124.1,145.44
1/19/18,9,106.85,191.89
1/19/18,10,101.01,204.54
1/19/18,11,73.27,97.81
1/19/18,12,66.72,67.94
1/19/18,13,58.72,50.43
1/19/18,14,56.59,56.74
1/19/18,15,53.16,60.65
1/19/18,16,53.02,57.92
1/19/18,17,68.19,56.54
1/19/18,18,98.92,81.26
1/19/18,19,85.99,84.25
1/19/18,20,73.71,63.55
1/19/18,21,55.54,51.34
1/19/18,22,52.87,47.26
1/19/18,23,50.99,50.34
1/19/18,24,48.35,45.16
1/20/18,1,55.14,62.94
1/20/18,2,53.64,67.15
1/20/18,3,55.18,46.89
1/20/18,4,52.75,40.47
1/20/18,5,51.33,45.43
1/20/18,6,67.48,55.42
1/20/18,7,55.36,49.82
1/20/18,8,51.55,49.22
1/20/18,9,64.06,57.2
1/20/18,10,66.55,46.05
1/20/18,11,46.67,31.61
1/20/18,12,39.64,31.03
1/20/18,13,39.17,31.44
1/20/18,14,36.28,27.72
1/20/18,15,35.2,29.02
1/20/18,16,34.58,25.12
1/20/18,17,39.34,23.81
1/20/18,18,57.98,34.9
1/20/18,19,52.42,34.3
1/20/18,20,44.72,34.05
1/20/18,21,41.24,32.56
1/20/18,22,38.61,26.45
1/20/18,23,39.68,19.46
1/20/18,24,38.8,27.21
1/21/18,1,37.89,15.69
1/21/18,2,35.9,21.35
1/21/18,3,35.63,30.46
1/21/18,4,38.22,32.75
1/21/18,5,41.25,27.14
1/21/18,6,36.41,30.64
1/21/18,7,34.43,21.98
1/21/18,8,34.56,30.72
1/21/18,9,35.27,12.16
1/21/18,10,39.68,19.63
1/21/18,11,37.83,19.92
1/21/18,12,37.61,22.65
1/21/18,13,39.04,25.37
1/21/18,14,39.2,23.7
1/21/18,15,34.82,24.63
1/21/18,16,37.56,23.54
1/21/18,17,40.46,28.22
1/21/18,18,70.9,37.36
1/21/18,19,64.55,39.41
1/21/18,20,45.18,39.43
1/21/18,21,42.92,37.15
1/21/18,22,39.55,31.12
1/21/18,23,37.41,27.49
1/21/18,24,39,8.12
1/22/18,1,25.82,-10.63
1/22/18,2,25.8,16.1
1/22/18,3,22.18,23.24
1/22/18,4,22.97,5.76
1/22/18,5,24.54,-32.66
1/22/18,6,39.01,12.23
1/22/18,7,39.49,39.24
1/22/18,8,52.18,45.49
1/22/18,9,49.48,40.17
1/22/18,10,49.19,37.19
1/22/18,11,62.32,41.09
1/22/18,12,69.89,49.99
1/22/18,13,62.66,62.01
1/22/18,14,59.38,54.12
1/22/18,15,59.08,63.34
1/22/18,16,59.48,50.6
1/22/18,17,75.24,47.43
1/22/18,18,81.76,49.75
1/22/18,19,71.06,60.55
1/22/18,20,69.35,47.36
1/22/18,21,52.88,41.91
1/22/18,22,40.75,33.87
1/22/18,23,36.16,24.88
1/22/18,24,33.42,22.71
1/23/18,1,24.57,99.53
1/23/18,2,24.03,84.29
1/23/18,3,20.32,55.2
1/23/18,4,20.97,74.16
1/23/18,5,22.49,35.44
1/23/18,6,27.24,45.09
1/23/18,7,34.34,54.81
1/23/18,8,37.08,50.04
1/23/18,9,30.26,61.14
1/23/18,10,30.26,55.19
1/23/18,11,26.78,65.45
1/23/18,12,26.72,64.98
1/23/18,13,24.22,86.51
1/23/18,14,24.25,79.99
1/23/18,15,25.42,65.93
1/23/18,16,24.09,25.88
1/23/18,17,31.27,31.45
1/23/18,18,42.81,65.79
1/23/18,19,40.11,61.11
1/23/18,20,31.03,38.51
1/23/18,21,24.53,47.24
1/23/18,22,26.79,45.45
1/23/18,23,27.91,48.16
1/23/18,24,24.57,10.12
1/24/18,1,22.17,20.63
1/24/18,2,22.13,2.18
1/24/18,3,21.76,8.61
1/24/18,4,21.36,15.42
1/24/18,5,21.98,21.38
1/24/18,6,24.52,12.02
1/24/18,7,30.9,18.29
1/24/18,8,39.83,28.09
1/24/18,9,38.92,24.1
1/24/18,10,38.68,23.43
1/24/18,11,67.07,53.71
1/24/18,12,66.49,29.93
1/24/18,13,65.15,-37.66
1/24/18,14,63.33,13.43
1/24/18,15,61.85,52.37
1/24/18,16,63.55,58.75
1/24/18,17,77.91,68.78
1/24/18,18,105.64,91.35
1/24/18,19,106.49,85.11
1/24/18,20,92.08,86.26
1/24/18,21,87.49,74.06
1/24/18,22,74.85,73.13
1/24/18,23,76.01,78.68
1/24/18,24,76.3,80.96
1/25/18,1,89.16,122.42
1/25/18,2,84.34,91.25
1/25/18,3,73.35,59.81
1/25/18,4,59.79,57.73
1/25/18,5,64.87,58.02
1/25/18,6,101.74,107.25
1/25/18,7,143.39,132.22
1/25/18,8,123.94,113.38
1/25/18,9,128.26,140.9
1/25/18,10,121.61,115.54
1/25/18,11,120.47,96.66
1/25/18,12,111.81,91.63
1/25/18,13,104.79,73.98
1/25/18,14,101.35,60.53
1/25/18,15,96.11,72.27
1/25/18,16,97.75,83.99
1/25/18,17,121.03,141.49
1/25/18,18,169.62,126.63
1/25/18,19,149.52,122.88
1/25/18,20,137.94,98.43
1/25/18,21,126.09,110.89
1/25/18,22,114.04,101.49
1/25/18,23,102.3,100
1/25/18,24,116.74,105.58
1/26/18,1,102.55,54.41
1/26/18,2,97.61,49.15
1/26/18,3,74.65,55.52
1/26/18,4,88.31,62.07
1/26/18,5,102.43,70.22
1/26/18,6,108.47,84.45
1/26/18,7,129.55,86.39
1/26/18,8,129.63,89.09
1/26/18,9,126.7,81.56
1/26/18,10,109.39,67.53
1/26/18,11,93.11,54.58
1/26/18,12,82.67,37.18
1/26/18,13,67.04,29.9
1/26/18,14,74.82,38.6
1/26/18,15,73.32,53.79
1/26/18,16,75.48,53.15
1/26/18,17,85.92,62.74
1/26/18,18,124.57,63.81
1/26/18,19,120.31,63.54
1/26/18,20,95.81,62.13
1/26/18,21,85.54,63.98
1/26/18,22,71.36,58.55
1/26/18,23,69.25,59.73
1/26/18,24,60.99,58.54
1/27/18,1,72.12,100.37
1/27/18,2,56.04,88.69
1/27/18,3,54.74,75.1
1/27/18,4,55.6,51.76
1/27/18,5,53.69,59.19
1/27/18,6,53.64,91.44
1/27/18,7,68.55,68.01
1/27/18,8,68.73,62.38
1/27/18,9,78.72,73.03
1/27/18,10,72.08,43.24
1/27/18,11,39.63,27.81
1/27/18,12,36.89,28.01
1/27/18,13,31.08,28.66
1/27/18,14,28.23,27.26
1/27/18,15,28.48,28.52
1/27/18,16,29.6,33.49
1/27/18,17,30.71,32.7
1/27/18,18,45.25,38.37
1/27/18,19,43.3,31.82
1/27/18,20,30.64,29.55
1/27/18,21,31.41,36.15
1/27/18,22,31.45,33.11
1/27/18,23,28.62,31.33
1/27/18,24,27.76,23.23
1/28/18,1,25.92,21.67
1/28/18,2,27.18,30.29
1/28/18,3,24.45,27.25
1/28/18,4,20.65,27.13
1/28/18,5,23.44,20.5
1/28/18,6,22.16,16.43
1/28/18,7,25.94,15.94
1/28/18,8,27.66,21.51
1/28/18,9,29.24,28.37
1/28/18,10,28.88,31.75
1/28/18,11,28.88,36.88
1/28/18,12,29.56,31.38
1/28/18,13,29.06,30.64
1/28/18,14,29.36,31.12
1/28/18,15,27.63,30.22
1/28/18,16,28.18,29.7
1/28/18,17,34.27,30.37
1/28/18,18,48.98,34.61
1/28/18,19,47.07,35.4
1/28/18,20,40.49,39.69
1/28/18,21,31.95,31.6
1/28/18,22,35.29,26.54
1/28/18,23,30.12,24.24
1/28/18,24,27.67,18.03
1/29/18,1,30.53,0.04
1/29/18,2,29.93,-3.66
1/29/18,3,30.48,22.29
1/29/18,4,30.45,27.21
1/29/18,5,28.64,39.57
1/29/18,6,30.51,52.87
1/29/18,7,39.59,36.13
1/29/18,8,49.39,56.34
1/29/18,9,43.46,33.87
1/29/18,10,49.44,30.48
1/29/18,11,56.52,31.81
1/29/18,12,58.21,33.09
1/29/18,13,57.87,31.06
1/29/18,14,53.92,31.14
1/29/18,15,51.72,33.85
1/29/18,16,54.51,41.9
1/29/18,17,65.06,40.83
1/29/18,18,98.84,59.1
1/29/18,19,98.84,49.2
1/29/18,20,87.53,46.1
1/29/18,21,60.16,42.97
1/29/18,22,50.43,31.57
1/29/18,23,43.74,29.54
1/29/18,24,46.7,22.79
1/30/18,1,63.03,87.03
1/30/18,2,58.31,57.15
1/30/18,3,57.39,55.93
1/30/18,4,49.31,48.02
1/30/18,5,54.01,78.39
1/30/18,6,58.84,108.07
1/30/18,7,83.69,74.11
1/30/18,8,96.28,113.46
1/30/18,9,92.21,122.49
1/30/18,10,102.03,120.47
1/30/18,11,112.61,121.84
1/30/18,12,112.2,124.76
1/30/18,13,108.25,111.95
1/30/18,14,108.31,117.9
1/30/18,15,105.37,113.26
1/30/18,16,107.23,100.46
1/30/18,17,122.36,100.37
1/30/18,18,142.29,113.4
1/30/18,19,126.51,135.54
1/30/18,20,114.91,147.5
1/30/18,21,104.32,143.34
1/30/18,22,97.17,97.52
1/30/18,23,82.28,73.54
1/30/18,24,95.66,90.5
1/31/18,1,95.53,98.43
1/31/18,2,103.21,120.61
1/31/18,3,95.68,90.14
1/31/18,4,95.74,92.74
1/31/18,5,92.87,107.47
1/31/18,6,113.09,141.24
1/31/18,7,113.45,124.3
1/31/18,8,115.78,108.75
1/31/18,9,111.65,105.18
1/31/18,10,102.7,90.02
1/31/18,11,97.04,67.59
1/31/18,12,89.99,61.1
1/31/18,13,89.95,59.46
1/31/18,14,85.18,56.65
1/31/18,15,83.45,54.4
1/31/18,16,85.26,69.39
1/31/18,17,98.47,106.34
1/31/18,18,130.83,113.63
1/31/18,19,120.78,127.69
1/31/18,20,111.8,114.82
1/31/18,21,91.77,105.1
1/31/18,22,71.63,68.36
1/31/18,23,67.17,72.67
1/31/18,24,86.8,138.56
2/1/18,1,68.91,113.85
2/1/18,2,58.39,113.48
2/1/18,3,56.4,96.35
2/1/18,4,55.77,99.02
2/1/18,5,57.99,130.73
2/1/18,6,65.56,94.28
2/1/18,7,81.52,113.26
2/1/18,8,90.14,147.25
2/1/18,9,85.21,105.95
2/1/18,10,84.85,73.43
2/1/18,11,59.82,55.81
2/1/18,12,59.11,49.1
2/1/18,13,61.05,47.5
2/1/18,14,58.1,43.36
2/1/18,15,55.42,44.91
2/1/18,16,55.53,50.1
2/1/18,17,57.24,57.37
2/1/18,18,73.78,74.06
2/1/18,19,65.71,55.48
2/1/18,20,56.03,53.33
2/1/18,21,55.11,48.11
2/1/18,22,46.25,43.11
2/1/18,23,49.06,42.45
2/1/18,24,40.54,38.79
2/2/18,1,55.84,52.2
2/2/18,2,53.44,53.68
2/2/18,3,51.01,49.44
2/2/18,4,52.42,49.88
2/2/18,5,54.2,52.39
2/2/18,6,56.77,48.29
2/2/18,7,62.58,48.23
2/2/18,8,55.5,43.42
2/2/18,9,55.94,49.13
2/2/18,10,55.57,50.65
2/2/18,11,78.01,88.92
2/2/18,12,79.44,78.36
2/2/18,13,76.4,75.38
2/2/18,14,80.94,75.9
2/2/18,15,76.52,75.45
2/2/18,16,78.35,72.75
2/2/18,17,83.33,76.43
2/2/18,18,117.59,85.56
2/2/18,19,122.35,87.34
2/2/18,20,112.73,80.85
2/2/18,21,106.33,84.9
2/2/18,22,88.06,80.22
2/2/18,23,90.67,86.81
2/2/18,24,77.9,73.67
2/3/18,1,91.88,85.13
2/3/18,2,84.94,78.26
2/3/18,3,84.93,59.84
2/3/18,4,86.26,60.47
2/3/18,5,84.93,66.13
2/3/18,6,92.27,62.62
2/3/18,7,84.35,82.36
2/3/18,8,92.94,89.11
2/3/18,9,96.38,104.81
2/3/18,10,106.64,83.42
2/3/18,11,78.95,77.67
2/3/18,12,72.81,67.67
2/3/18,13,69.88,52.89
2/3/18,14,69.74,47.1
2/3/18,15,65.11,51.3
2/3/18,16,68.55,53.43
2/3/18,17,72.15,75.96
2/3/18,18,99.54,100.37
2/3/18,19,91.18,87.8
2/3/18,20,73.24,88.65
2/3/18,21,70.17,101.28
2/3/18,22,69.68,89.3
2/3/18,23,65.08,90.19
2/3/18,24,56,65.02
2/4/18,1,72.94,91.32
2/4/18,2,61.88,127.31
2/4/18,3,57.82,103.99
2/4/18,4,57.51,108.18
2/4/18,5,57.45,77.37
2/4/18,6,59.61,62.01
2/4/18,7,57.49,144.23
2/4/18,8,78.86,138.39
2/4/18,9,56.11,60.67
2/4/18,10,59.25,57.42
2/4/18,11,58.54,74.93
2/4/18,12,62.69,58.88
2/4/18,13,56.26,67.55
2/4/18,14,53.69,67.99
2/4/18,15,53.31,69.63
2/4/18,16,53.43,94.52
2/4/18,17,59.39,92.43
2/4/18,18,81.13,92.57
2/4/18,19,58.54,70.22
2/4/18,20,53.57,45.53
2/4/18,21,50.02,31.57
2/4/18,22,50.04,38.52
2/4/18,23,39.19,45.63
2/4/18,24,38.96,71.93
2/5/18,1,49.76,48.8
2/5/18,2,50.21,42.67
2/5/18,3,55.16,53.82
2/5/18,4,50.3,48.42
2/5/18,5,49.71,48.68
2/5/18,6,58.19,50.26
2/5/18,7,54,49.62
2/5/18,8,64.23,50.13
2/5/18,9,56.04,45.36
2/5/18,10,55.17,43.82
2/5/18,11,60.23,41.34
2/5/18,12,58.46,26.67
2/5/18,13,59.44,21.9
2/5/18,14,58.56,18.56
2/5/18,15,59.87,28.6
2/5/18,16,60.8,43.56
2/5/18,17,71.92,50.39
2/5/18,18,90.75,67.54
2/5/18,19,97.13,68.03
2/5/18,20,87.93,62.74
2/5/18,21,85.75,57.73
2/5/18,22,76.73,53.25
2/5/18,23,58.38,45.04
2/5/18,24,69.33,37.49
2/6/18,1,76.79,50.45
2/6/18,2,83.22,58.34
2/6/18,3,66.34,56.2
2/6/18,4,69.02,56.46
2/6/18,5,74.98,63.08
2/6/18,6,74.8,84.6
2/6/18,7,85.56,68.7
2/6/18,8,95.82,76.24
2/6/18,9,96.08,71.35
2/6/18,10,90.32,79.32
